EVERYTHING,,,,Pre-1900,1920s,1930s,1940s,1950s,1970s,1980s,1990s,2000s,2010,2011,2012,2013,2014,2015,2016,QUICK NAVIGATION & LEGEND,,,,"TIMELINE
PLACEMENT
LINKS",REALITY DESIGNATION
,,,,2017,2018,2019,2020s,Future,TVA,,,,,,,,,,,,,,,,
,Movie/Show,,,,Season & Episode,Episode Title,,,,Approx. Timecode (h:mm:ss),,,,Comment,,,,,,"Alternate
Timeline/",Ambiguous,Troublesome,Warning,,"DEFAULT
EARTH-
199999"
,,,,,,,,,,Start,,End,,,,,,,,"Dimension/
Reality",Chronology,Audio,,,
,LEGEND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Alternate Timelines, Dimensions or Realities",,,,,,,,,,,,,,,,,,,,,,
,,,"Some MCU stories involve characters traveling to alternate timelines, dimensions or realities. If a clip is set solely in such a place than that clip will be indicated by these row colors so it can be easily differentiated. Otherwise, if a clip begins or ends with a scene set in an alternate timeline, dimension or reality it will be noted in bold in the comment.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ambiguous Chronology,,,,,,,,,,,,,,,,,,,,,,
,,,Some scenes' chronological positions are vague with their only criteria being that they happen before or after a given scene(s).,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Troublesome Audio,,,,,,,,,,,,,,,,,,,,,,
,,,Some scenes have a character talking over a flashback scene or there is dialogue (or music with lyrics) that begins or ends in a different scene.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Warning,,,,,,,,,,,,,,,,,,,,,,
,,,"Some scenes have aspects (e.g. dialogue) that cause their chronology to be in doubt, have content that retcon portions of other scenes, or the structure/editing of the work is too intrinsic, etc. See NOTE for details.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Approx. Total Runtime,,,,,,,,,,,,,,,,
,,,,,,,,,341:41:19,,,,,,,,,,,,,,,,
,Pre-20th Century,,,,,,,,,Clips,,Movies,,Shows,,Episodes,,Approx. Runtime,,,,,,,
,,,,,,,,,,21,,4,,4,,7,,0:28:43,,,,,,,
,Black Panther,,,,,,,,,0:00:14,,0:01:45,,Prologue: N'Jobu narrating the story of the first Black Panther and the formation of Wakanda to his son N'Jadaka (Erik).,,,,,,,,,,"2,500,000 BCE",
,Agents of S.H.I.E.L.D.,,,,3.19,Failed Experiments,,,,0:00:45,,0:01:35,,NOTE: During this flashback sequence Hive is telling the story of his Inhuman transformation (Terrigenesis) in the present. The following clips leave out his narration.,,,,,,,,,,3500 BCE,
,,,,,,,,,,,,,,Flashback: Up to Hive looking back and forth at the two Kree after he stumbles,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,3.19,Failed Experiments,,,,0:01:38,,0:01:43,,Flashback: Hive panting looking up at one of the Kree up to an extreme close up of his face with his head bound by a braided metal cord,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,3.19,Failed Experiments,,,,0:01:46,,0:01:54,,"Flashback: Hive, fully shown, bound to a table up to one of the Kree inserting a tube into his throat",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,3.19,Failed Experiments,,,,0:01:59,,0:02:02,,Flashback: Kree blood entering Hive through the tube and him screaming in pain,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,3.19,Failed Experiments,,,,0:02:09,,0:02:20,,"Flashback: Hive, fully shown, on the table shrouded in mist and the Terrigenesis cocoon forming",,,,,,,,,,,
,Thor: The Dark World,,,,,,,,,0:00:35,,0:03:39,,Prologue: Odin narrating the story of The Convergence,,,,,,,,,,2988 BCE,
,Loki,,,,S01E02,The Variant,,,,0:24:56,,0:27:24,,Loki and Mobius visiting Pompeii just prior to the eruption of Mount Vesuvius,,,,,,,,,,79,
,Thor: Ragnarok,,,,,,,,,1:19:10,,1:19:51,,Flashback: Massacre of the Valkyrie,,,,,,,,,,950,
,Thor,,,,,,,,,0:03:30,,0:05:31,,Prologue: Odin narrating the events of the Battle of Tønsberg and the Battle of Jotunheim up to an Asgardian retrieving the Casket of Ancient Winters,,,,,,,,,,965,
,Thor,,,,,,,,,0:40:14,,0:40:27,,Flashback: Odin discovering Loki,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Odin's dialogue is a continuation from his dialogue in the present.,,,,,,,,,,,
,Thor,,,,,,,,,0:05:31,,0:07:34,,Prologue Continued: Odin narrating as the Asgardians leave Jotunheim via the Bifrost up to Odin holding his young sons' (Thor and Loki) hands as they walk through his Vault/Treasure Room,,,,,,,,,,,
,Loki,,,,S01E04,The Nexus Event,,,,0:01:46,,0:02:28,,"Flashback: Young ""Sylvie"" being arrested by the TVA for ""crimes against the Sacred Timeline.""",,,,,,,,,,978,
,Loki,,,,S01E01,Glorious Purpose,,,,0:12:15,,0:15:07,,"""AIX-EN-PROVENCE, FRANCE"", ""1549"", Mobius investigating an attack against TVA agents up to Mobius being handed Loki's file",,,,,,,,,,1549,
,,,,,,,,,,,,,,NOTE: Dialogue comes in early at 0:15:06.,,,,,,,,,,,
,Cloak & Dagger,,,,1.10,Colony Collapse,,,,0:00:42,,0:02:06,,NOTE: These 1.10 scenes showing Divine Pairs throughout New Orleans' history are narrated by Chantelle Fusilier in the present to her niece Evita.,,,,,,,,,,1650,
,,,,,,,,,,,,,,Flashback: A young Choctaw girl drowning herself in a river as a sacrifice to save her village from a famine,,,,,,,,,,,
,WandaVision,,,,1.08,Previously On,,,,0:01:24,,0:05:46,,Flashback: Up to Agatha Harkness flying away,,,,,,,,,,1693,
,Cloak & Dagger,,,,1.10,Colony Collapse,,,,0:09:54,,0:10:51,,Flashback: Two brothers dueling with muskets during a storm,,,,,,,,,,1793,
,,,,,,,,,,,,,,NOTE: Chantelle's narration ends at 0:10:53.,,,,,,,,,,,
,Cloak & Dagger,,,,1.10,Colony Collapse,,,,0:19:35,,0:20:20,,Flashback: A young private running through a forest up to the private dying and a young woman running off to continue his mission,,,,,,,,,,1815,
,,,,,,,,,,,,,,NOTE: Chantelle Fusilier narrating.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,3.02,Purpose in the Machine,,,,0:00:56,,0:02:25,,Flashback: Early HYDRA conducting a stone ceremony and sending one of their members through a liquifying stone monolith,,,,,,,,,,1839,
,Loki,,,,S01E01,Glorious Purpose,,,,0:43:52,,0:45:30,,"""SALINA, OKLAHOMA"", ""1858"", TVA agents arriving up to the end of the episode",,,,,,,,,,1858,
,Cloak & Dagger,,,,1.10,Colony Collapse,,,,0:24:30,,0:25:46,,Flashback: Dr. Jack Rogers preparing to draw blood from himself up to Jack Rogers dying and the patients in the church sitting up,,,,,,,,,,1918,
,,,,,,,,,,,,,,NOTE: Chantelle Fusilier narrating.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1920s,,,,,,,,,Clips,,Movies,,Shows,,Episodes,,Approx. Runtime,,,,,,,
,,,,,,,,,,3,,0,,1,,1,,0:04:51,,,,,,,
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:06:31,,0:08:42,,"Flashback: ""BROXTON, OKLAHOMA - 1920"", Young Agnes Cully repairing a radio in the kitchen up to Young Agnes turning up the radio",,,,,,,,,,1920,
,Agent Carter,,,,2.04,Smoke & Mirrors,,,,0:00:48,,0:01:39,,"Flashback: Open fairy tale book, Young Peggy Carter playing outside pretending to be a knight rescuing a maiden from a dragon",,,,,,,,,,1927,
